Endpoint,Parameter Name,Location,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Required,increase_openapi - Required,q2_openapi - Required,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
GET /customer/generateToken/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customer/get/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customer/getByEmail/{emailAddress},emailAddress,path,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
GET /customer/getByTag/{tag},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customer/list,,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customer/list,customerClass,query,N/A,N/A,string,N/A,N/A,No,N/A,N/A,"Limit which type of customers are returned. If no value is passed, all customers are returned."
GET /customer/notesList/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customerBeneficiary/get/{customerId}/{customerBeneficiaryId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customerBeneficiary/get/{customerId}/{customerBeneficiaryId},customerBeneficiaryId,path,N/A,N/A,,N/A,N/A,Yes,N/A,N/A,
GET /customerBeneficiary/list/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customerDocument/get/{customerId}/{documentId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customerDocument/list/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customerRelationship/list/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customers,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /customers,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /customers,sort,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /customers/{customerId},customerId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the customer to get,N/A,N/A
GET /declined_transactions,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /declined_transactions,category.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
